"Rockin Rock Band","Band Player","Musical Weapon"
REM,"Bill Berry",Drums
"Stone Temple Pilots","Eric Kretz",Drums
"Amity Affliction","Joe Longobardi",Drums
U2,"Larry Mullen Jr",Drums
"Toad the Wet Sprocket","Randy Guss",Drums
